file: votematrix-2005.csv covering commons parliament 2005
file created: Sat Feb  9 11:29:53 2013by http://www.publicwhip.org.uk/
657 mps
1288 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
1720	Lembit	&Ouml;pik	LDem	http://publicwhip.com/mp.php?mpid=1720
1604	Diane	Abbott	Lab	http://publicwhip.com/mp.php?mpid=1604
1929	Adam	Afriyie	Con	http://publicwhip.com/mp.php?mpid=1929
1486	Nick	Ainger	Lab	http://publicwhip.com/mp.php?mpid=1486
1516	Bob	Ainsworth	Lab	http://publicwhip.com/mp.php?mpid=1516
1857	Peter	Ainsworth	Con	http://publicwhip.com/mp.php?mpid=1857
1995	Danny	Alexander	LDem	http://publicwhip.com/mp.php?mpid=1995
2008	Douglas	Alexander	Lab	http://publicwhip.com/mp.php?mpid=2008
1747	Graham	Allen	Lab	http://publicwhip.com/mp.php?mpid=1747
1829	David	Amess	Con	http://publicwhip.com/mp.php?mpid=1829
1537	Michael	Ancram	Con	http://publicwhip.com/mp.php?mpid=1537
1427	David	Anderson	Lab	http://publicwhip.com/mp.php?mpid=1427
1788	Janet	Anderson	Lab	http://publicwhip.com/mp.php?mpid=1788
1612	James	Arbuthnot	Con	http://publicwhip.com/mp.php?mpid=1612
1557	Hilary	Armstrong	Lab	http://publicwhip.com/mp.php?mpid=1557
1834	Charlotte	Atkins	Lab	http://publicwhip.com/mp.php?mpid=1834
1635	Peter	Atkinson	Con	http://publicwhip.com/mp.php?mpid=1635
1553	Ian	Austin	Lab	http://publicwhip.com/mp.php?mpid=1553
1577	John	Austin	Lab	http://publicwhip.com/mp.php?mpid=1577
1738	Richard	Bacon	Con	http://publicwhip.com/mp.php?mpid=1738
1920	Adrian	Bailey	Lab	http://publicwhip.com/mp.php?mpid=1920
40033	William	Bain	Lab	http://publicwhip.com/mp.php?mpid=40033
1775	Vera	Baird	Lab	http://publicwhip.com/mp.php?mpid=1775
1680	Norman	Baker	LDem	http://publicwhip.com/mp.php?mpid=1680
1382	Tony	Baldry	Con	http://publicwhip.com/mp.php?mpid=1382
1740	Edward	Balls	Lab	http://publicwhip.com/mp.php?mpid=1740
2005	Gordon	Banks	Lab	http://publicwhip.com/mp.php?mpid=2005
1407	Gregory	Barker	Con	http://publicwhip.com/mp.php?mpid=1407
1644	Celia	Barlow	Lab	http://publicwhip.com/mp.php?mpid=1644
1409	John	Baron	Con	http://publicwhip.com/mp.php?mpid=1409
1982	John	Barrett	LDem	http://publicwhip.com/mp.php?mpid=1982
1789	Kevin	Barron	Lab	http://publicwhip.com/mp.php?mpid=1789
1673	John	Battle	Lab	http://publicwhip.com/mp.php?mpid=1673
1953	Hugh	Bayley	Lab	http://publicwhip.com/mp.php?mpid=1953
1533	Margaret	Beckett	Lab	http://publicwhip.com/mp.php?mpid=1533
1956	Anne	Begg	Lab	http://publicwhip.com/mp.php?mpid=1956
1404	Alan	Beith	LDem	http://publicwhip.com/mp.php?mpid=1404
1713	Stuart	Bell	Lab	http://publicwhip.com/mp.php?mpid=1713
1737	Henry	Bellingham	Con	http://publicwhip.com/mp.php?mpid=1737
1669	Hilary	Benn	Lab	http://publicwhip.com/mp.php?mpid=1669
1434	Joe	Benton	Lab	http://publicwhip.com/mp.php?mpid=1434
1727	Richard	Benyon	Con	http://publicwhip.com/mp.php?mpid=1727
1463	John	Bercow	Con	http://publicwhip.com/mp.php?mpid=1463
1718	Paul	Beresford	Con	http://publicwhip.com/mp.php?mpid=1718
1663	Roger	Berry	Lab	http://publicwhip.com/mp.php?mpid=1663
1809	Clive	Betts	Lab	http://publicwhip.com/mp.php?mpid=1809
1742	Brian	Binley	Con	http://publicwhip.com/mp.php?mpid=1742
1576	Liz	Blackman	Lab	http://publicwhip.com/mp.php?mpid=1576
1558	Roberta	Blackman-Woods	Lab	http://publicwhip.com/mp.php?mpid=1558
1806	Tony	Blair	Lab	http://publicwhip.com/mp.php?mpid=1806
1802	Hazel	Blears	Lab	http://publicwhip.com/mp.php?mpid=1802
1912	Bob	Blizzard	Lab	http://publicwhip.com/mp.php?mpid=1912
1810	David	Blunkett	Lab	http://publicwhip.com/mp.php?mpid=1810
1778	Crispin	Blunt	Con	http://publicwhip.com/mp.php?mpid=1778
1915	Peter	Bone	Con	http://publicwhip.com/mp.php?mpid=1915
1780	David	Borrow	Lab	http://publicwhip.com/mp.php?mpid=1780
1529	Tim	Boswell	Con	http://publicwhip.com/mp.php?mpid=1529
1945	Peter	Bottomley	Con	http://publicwhip.com/mp.php?mpid=1945
1580	Ben	Bradshaw	Lab	http://publicwhip.com/mp.php?mpid=1580
1371	Graham	Brady	Con	http://publicwhip.com/mp.php?mpid=1371
1487	Tom	Brake	LDem	http://publicwhip.com/mp.php?mpid=1487
1479	Julian	Brazier	Con	http://publicwhip.com/mp.php?mpid=1479
1514	Colin	Breed	LDem	http://publicwhip.com/mp.php?mpid=1514
1483	Kevin	Brennan	Lab	http://publicwhip.com/mp.php?mpid=1483
1640	James	Brokenshire	Con	http://publicwhip.com/mp.php?mpid=1640
1546	Annette	Brooke	LDem	http://publicwhip.com/mp.php?mpid=1546
1997	Gordon	Brown	Lab	http://publicwhip.com/mp.php?mpid=1997
1921	Lyn	Brown	Lab	http://publicwhip.com/mp.php?mpid=1921
1730	Nick	Brown	Lab	http://publicwhip.com/mp.php?mpid=1730
1969	Russell	Brown	Lab	http://publicwhip.com/mp.php?mpid=1969
1996	Des	Browne	Lab	http://publicwhip.com/mp.php?mpid=1996
1869	Jeremy	Browne	LDem	http://publicwhip.com/mp.php?mpid=1869
1876	Angela	Browning	Con	http://publicwhip.com/mp.php?mpid=1876
1993	Malcolm	Bruce	LDem	http://publicwhip.com/mp.php?mpid=1993
1779	Chris	Bryant	Lab	http://publicwhip.com/mp.php?mpid=1779
1777	Karen	Buck	Lab	http://publicwhip.com/mp.php?mpid=1777
1416	Richard	Burden	Lab	http://publicwhip.com/mp.php?mpid=1416
1570	Colin	Burgon	Lab	http://publicwhip.com/mp.php?mpid=1570
1678	Andy	Burnham	Lab	http://publicwhip.com/mp.php?mpid=1678
1493	Simon	Burns	Con	http://publicwhip.com/mp.php?mpid=1493
1573	David	Burrowes	Con	http://publicwhip.com/mp.php?mpid=1573
1861	Paul	Burstow	LDem	http://publicwhip.com/mp.php?mpid=1861
1398	Alistair	Burt	Con	http://publicwhip.com/mp.php?mpid=1398
1823	Lorely	Burt	LDem	http://publicwhip.com/mp.php?mpid=1823
1447	Dawn	Butler	Lab	http://publicwhip.com/mp.php?mpid=1447
1438	John	Butterfill	Con	http://publicwhip.com/mp.php?mpid=1438
1888	Stephen	Byers	Lab	http://publicwhip.com/mp.php?mpid=1888
1414	Liam	Byrne	Lab	http://publicwhip.com/mp.php?mpid=1414
1885	Vincent	Cable	LDem	http://publicwhip.com/mp.php?mpid=1885
1811	Richard	Caborn	Lab	http://publicwhip.com/mp.php?mpid=1811
1994	David	Cairns	Lab	http://publicwhip.com/mp.php?mpid=1994
1932	David	Cameron	Con	http://publicwhip.com/mp.php?mpid=1932
1887	Alan	Campbell	Lab	http://publicwhip.com/mp.php?mpid=1887
1693	Gregory	Campbell	DUP	http://publicwhip.com/mp.php?mpid=1693
1984	Menzies	Campbell	LDem	http://publicwhip.com/mp.php?mpid=1984
1428	Ronnie	Campbell	Lab	http://publicwhip.com/mp.php?mpid=1428
2006	Alistair	Carmichael	LDem	http://publicwhip.com/mp.php?mpid=2006
1621	Douglas	Carswell	Con	http://publicwhip.com/mp.php?mpid=1621
1844	William	Cash	Con	http://publicwhip.com/mp.php?mpid=1844
1597	Martin	Caton	Lab	http://publicwhip.com/mp.php?mpid=1597
1452	Ian	Cawsey	Lab	http://publicwhip.com/mp.php?mpid=1452
1722	Colin	Challen	Lab	http://publicwhip.com/mp.php?mpid=1722
1930	Ben	Chapman	Lab	http://publicwhip.com/mp.php?mpid=1930
1466	David	Chaytor	Lab	http://publicwhip.com/mp.php?mpid=1466
1502	Christopher	Chope	Con	http://publicwhip.com/mp.php?mpid=1502
1386	Michael	Clapham	Lab	http://publicwhip.com/mp.php?mpid=1386
1634	James	Clappison	Con	http://publicwhip.com/mp.php?mpid=1634
1884	Greg	Clark	Con	http://publicwhip.com/mp.php?mpid=1884
1963	Katy	Clark	Lab	http://publicwhip.com/mp.php?mpid=1963
1594	Paul	Clark	Lab	http://publicwhip.com/mp.php?mpid=1594
1745	Charles	Clarke	Lab	http://publicwhip.com/mp.php?mpid=1745
1794	Kenneth	Clarke	Con	http://publicwhip.com/mp.php?mpid=1794
1967	Tom	Clarke	Lab	http://publicwhip.com/mp.php?mpid=1967
