file: votematrix-lords.csv covering lords
file created: Sat Feb  9 11:29:46 2013by http://www.publicwhip.org.uk/
1054 mps
1708 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
100001	Aberdare		Con	http://publicwhip.com/mp.php?mpid=100001
101000	Aberdare		XB	http://publicwhip.com/mp.php?mpid=101000
100002	Ackner		XB	http://publicwhip.com/mp.php?mpid=100002
100003	Acton		Lab	http://publicwhip.com/mp.php?mpid=100003
100004	Addington		LDem	http://publicwhip.com/mp.php?mpid=100004
100005	Adebowale		XB	http://publicwhip.com/mp.php?mpid=100005
100839	Adonis		Lab	http://publicwhip.com/mp.php?mpid=100839
100969	Afshar		XB	http://publicwhip.com/mp.php?mpid=100969
100006	Ahmed		Lab	http://publicwhip.com/mp.php?mpid=100006
100007	Alderdice		LDem	http://publicwhip.com/mp.php?mpid=100007
100740	Aldington		Con	http://publicwhip.com/mp.php?mpid=100740
100011	Alli		Lab	http://publicwhip.com/mp.php?mpid=100011
100824	Alliance		LDem	http://publicwhip.com/mp.php?mpid=100824
100013	Amos		Lab	http://publicwhip.com/mp.php?mpid=100013
100014	Ampthill		XB	http://publicwhip.com/mp.php?mpid=100014
100015	Andrews		Lab	http://publicwhip.com/mp.php?mpid=100015
100757	Annan		XB	http://publicwhip.com/mp.php?mpid=100757
100021	Ashcroft		Con	http://publicwhip.com/mp.php?mpid=100021
100025	Astor		Con	http://publicwhip.com/mp.php?mpid=100025
100027	Attenborough		Lab	http://publicwhip.com/mp.php?mpid=100027
100028	Attlee		Con	http://publicwhip.com/mp.php?mpid=100028
100029	Avebury		LDem	http://publicwhip.com/mp.php?mpid=100029
100030	Bach		Lab	http://publicwhip.com/mp.php?mpid=100030
100031	Bagri		Con	http://publicwhip.com/mp.php?mpid=100031
101111	Bakewell		Lab	http://publicwhip.com/mp.php?mpid=101111
100801	Ballyedmond		XB	http://publicwhip.com/mp.php?mpid=100801
101032	Bannside		DUP	http://publicwhip.com/mp.php?mpid=101032
100034	Barber		Con	http://publicwhip.com/mp.php?mpid=100034
100036	Barker		LDem	http://publicwhip.com/mp.php?mpid=100036
100037	Barnett		Lab	http://publicwhip.com/mp.php?mpid=100037
100976	Bates		Con	http://publicwhip.com/mp.php?mpid=100976
101066	Beecham		Lab	http://publicwhip.com/mp.php?mpid=101066
100040	Bell		Con	http://publicwhip.com/mp.php?mpid=100040
100741	Bellwin		Con	http://publicwhip.com/mp.php?mpid=100741
100041	Belstead		Con	http://publicwhip.com/mp.php?mpid=100041
